step,speed,heading,position_x,position_y,steering,throttle,brake,lane_index
0,0.026030909270468982,0.0,5.000459671020508,3.5,6.31329864117574e-05,0,0,"('>', '>>', 1)"
1,0.04148080945014957,-5.326322183307752e-07,5.003663063049316,3.5,3.050351505310003e-05,0,0,"('>', '>>', 1)"
2,0.01966263540131433,-9.321063814127228e-07,5.0079569816589355,3.5,2.216042080973807e-05,0,0,"('>', '>>', 1)"
3,0.016701001673938905,-9.321063814127228e-07,5.009196758270264,3.5,5.994792006684091e-05,0,0,"('>', '>>', 1)"
4,0.013142427429572195,-6.657902726914244e-07,5.007538795471191,3.5,7.545887394684703e-05,0,0,"('>', '>>', 1)"
5,0.004496234003664095,-7.989483270520736e-07,5.006536483764648,3.5,1.841164942962672e-05,0,0,"('>', '>>', 1)"
6,0.0035224440522803194,-6.657902726914244e-07,5.006412029266357,3.5,5.844344554770916e-05,0,0,"('>', '>>', 1)"
7,0.001946631005001822,-1.065264435773372e-06,5.006435871124268,3.5,4.451989996966135e-05,0,0,"('>', '>>', 1)"
8,0.005326096434767686,-9.321063814127228e-07,5.00667667388916,3.5,3.734738678705455e-05,0,0,"('>', '>>', 1)"
9,0.0036575994454673866,-1.464738599743498e-06,5.006770133972168,3.5,1.9082089512291877e-05,0,0,"('>', '>>', 1)"
10,0.003615127876419947,-1.1984224901340212e-06,5.006841659545898,3.5,3.630778547562904e-05,0,0,"('>', '>>', 1)"
11,0.03231338413377221,-1.1984224901340212e-06,5.007746696472168,3.5,9.289322765616361e-05,0.1,0,"('>', '>>', 1)"
12,0.08970986309596833,-1.464738599743498e-06,5.012240886688232,3.5,6.600887933843164e-05,0.2,0,"('>', '>>', 1)"
13,0.17580460015454025,-1.5978966541041473e-06,5.023048400878906,3.5,5.277260848154971e-05,0.30000000000000004,0,"('>', '>>', 1)"
14,0.2905975879672276,-1.3315805453828489e-06,5.0430402755737305,3.500000476837158,8.763242945250804e-05,0.4,0,"('>', '>>', 1)"
15,0.43408861757046713,-1.1984224901340212e-06,5.075085163116455,3.5000011920928955,3.85469733467595e-06,0.5,0,"('>', '>>', 1)"
16,0.6062781216712383,-1.1984224901340212e-06,5.122052192687988,3.500001907348633,7.816026459368664e-05,0.6,0,"('>', '>>', 1)"
17,0.8071660402092079,-5.326322183307752e-07,5.186812400817871,3.5000033378601074,6.415077573723401e-05,0.7,0,"('>', '>>', 1)"
18,1.03675222474887,1.464738599743498e-06,5.272235870361328,3.5000061988830566,9.935256565454772e-05,0.7999999999999999,0,"('>', '>>', 1)"
19,1.295035839534316,2.929477199486996e-06,5.381191730499268,3.500009775161743,4.9615118072390066e-05,0.8999999999999999,0,"('>', '>>', 1)"
20,1.5820178989177136,5.06000607103374e-06,5.516550064086914,3.5000133514404297,3.864864342067461e-05,0.9999999999999999,0,"('>', '>>', 1)"
21,1.868999958135458,6.2584285611677615e-06,5.6804914474487305,3.500016212463379,4.810346747429317e-06,1.0,0,"('>', '>>', 1)"
22,2.155983211463898,8.255799379242035e-06,5.873131275177002,3.500020742416382,9.846141397533035e-05,1.0,0,"('>', '>>', 1)"
23,2.4429676550207216,1.2383699068863052e-05,6.09446907043457,3.5000293254852295,5.9822040782832485e-05,1.0,0,"('>', '>>', 1)"
24,2.7299520984686936,1.5845808485792645e-05,6.344505310058594,3.5000381469726562,4.0040951884360474e-05,1.0,0,"('>', '>>', 1)"
25,3.0169365424341787,1.9307917902722238e-05,6.623239994049072,3.5000476837158203,4.072755078662108e-05,1.0,0,"('>', '>>', 1)"
26,3.303920986472428,2.157160482951781e-05,6.930673122406006,3.500058650970459,3.629674271743862e-05,1.0,0,"('>', '>>', 1)"
27,3.5909054330512418,2.530003035605688e-05,7.2668046951293945,3.500072717666626,7.82810980780123e-05,1.0,0,"('>', '>>', 1)"
28,3.8778898758367846,3.062635253581192e-05,7.631634712219238,3.5000908374786377,3.343290072444975e-05,1.0,0,"('>', '>>', 1)"
29,4.164871702169214,3.5952674716455135e-05,8.025162696838379,3.5001120567321777,8.78018537216044e-05,1.0,0,"('>', '>>', 1)"
30,4.451851379650475,4.327636771428445e-05,8.447389602661133,3.50014066696167,7.184200558119324e-05,1.0,0,"('>', '>>', 1)"
31,4.738831050519991,4.953479627545221e-05,8.898313522338867,3.5001702308654785,2.413685181666181e-06,1.0,0,"('>', '>>', 1)"
32,5.025810737142085,5.406217012904335e-05,9.377936363220215,3.500201940536499,9.885714317619794e-05,1.0,0,"('>', '>>', 1)"
33,5.3127904213547765,6.444849837983213e-05,9.88625717163086,3.5002472400665283,9.785484979774862e-05,1.0,0,"('>', '>>', 1)"
34,5.599770097450865,7.563377495856116e-05,10.4232759475708,3.500300884246826,5.5958323433909465e-05,1.0,0,"('>>', '>>>', 1)"
35,5.886749782453501,8.495483877357657e-05,10.988992691040039,3.500359535217285,7.559179068905204e-05,1.0,0,"('>>', '>>>', 1)"
36,6.17372947065281,9.693906367935767e-05,11.583406448364258,3.5004286766052246,8.3710156045208e-05,1.0,0,"('>>', '>>>', 1)"
37,6.460709135615562,0.00010652644360309438,12.20651912689209,3.500504493713379,9.129811350328309e-07,1.0,0,"('>>', '>>>', 1)"
38,6.747688812026462,0.00010852381442028047,12.858329772949219,3.500577688217163,5.687365487115059e-06,1.0,0,"('>>', '>>>', 1)"
39,7.0346685016195005,0.00011118697551104617,13.538838386535645,3.5006566047668457,4.5396444956362734e-05,1.0,0,"('>>', '>>>', 1)"
40,7.321648187109446,0.00011797803629054471,14.248044967651367,3.5007472038269043,4.350713297251101e-05,1.0,0,"('>>', '>>>', 1)"
41,7.60862786456126,0.00012383699068863052,14.98594856262207,3.5008459091186523,2.1663908876957215e-05,1.0,0,"('>>', '>>>', 1)"
42,7.89560754780573,0.00012863068065094296,15.752551078796387,3.5009496212005615,2.6149845700368845e-05,1.0,0,"('>>', '>>>', 1)"
43,8.182587717400532,0.00013502226726735955,16.547849655151367,3.501063108444214,4.656582214612023e-05,1.0,0,"('>>', '>>>', 1)"
44,8.469567399952329,0.00014234596026518886,17.37184715270996,3.501187801361084,2.8166914665393106e-05,1.0,0,"('>>', '>>>', 1)"
45,8.756547081712965,0.00014847123077199598,18.224544525146484,3.501319646835327,1.9631467835498374e-05,1.0,0,"('>>', '>>>', 1)"
46,9.043526797884702,0.0001569933462599593,19.105939865112305,3.5014641284942627,7.364777271934432e-05,1.0,0,"('>>', '>>>', 1)"
47,9.330506486436173,0.00017030915171112326,20.01603126525879,3.5016283988952637,3.8484131909309924e-05,1.0,0,"('>>', '>>>', 1)"
48,9.617486158094216,0.0001788312671990866,20.95482063293457,3.501800537109375,7.767811956804982e-07,1.0,0,"('>>', '>>>', 1)"
49,9.90446585890935,0.0001832254829974289,21.92230796813965,3.501979112625122,2.946729251567156e-05,1.0,0,"('>>', '>>>', 1)"
50,10.191445551460413,0.0001901497018312881,22.918495178222656,3.5021719932556152,2.3127588909294727e-05,1.0,0,"('>>', '>>>', 1)"
51,10.478425310074996,0.00020200076868270855,23.94338035583496,3.5023860931396484,9.511432394144321e-05,1.0,0,"('>>', '>>>', 1)"
